title;author;isbn13;format;publisher;pages;dimensions;overview
Latino Boom: An Anthology of U. S. Latino Literature;John Christie;9780321093837;Paperback;Longman;592;6.40 (w) x 9.10 (h) x 1.30 (d);<table> <tbody> <tr> <td> <p><b><i><b>Latino Boom: An Anthology of U.S. Latino Literature</b></i> combines an engaging and diverse selection of Latino/a authors with tools for students to read, think, and write critically about these works.</b></p> <p>The first anthology of Latino literature to offer teachers and students a wide array of scholarly and pedagogical resources for class discussion and analysis, this thematically organized collection of fiction, poetry, drama, and essay presents a rich spectrum of literary styles. Providing complete works of Latino/a literature vs excerpts written originally in English, the anthology juxtaposes well-known writers with emerging voices from diverse Latino communities, inviting students to examine Latino literature through a variety of lenses.</p> </td> </tr> </tbody> </table>
Up All Night: Adventures in Lesbian Sex;Stacy Bias;9781555837471;Paperback;Alyson Books;264;5.40 (w) x 8.50 (h) x 0.60 (d);"<p>In the tradition of the erotic bestsellers Skin Deep and Early Embraces, Up All Night presents the uncensored sizzling words of real women describing their hottest, wildest erotic adventures.</p> <p><b>Stacy Bias</b> is the founder of Technodyke.com, the gathering place for the web-savvy dyke. She lives in Portland, Oregon.</p> <p><b>Rachel Kramer Bussel</b> is an editorial assistant at <b>On Our Backs</b> and has contributed writings to <i>Starf*cker</i>, <i>Best Lesbian Erotica 2001</i>, and <i>Hot &amp; Bothered 3</i>. She lives in New York City.</p>"
Anthology of Modern American Poetry;Cary Nelson;9780195122718;Paperback;Oxford University Press, USA;1296;9.20 (w) x 6.00 (h) x 1.90 (d);"<p>Anthology of Modern American Poetry contains more than 750 poems by 161 American poets, including many who have not been anthologized before. Spanning a period from Walt Whitman to Sherman Alexie, this collection is the first to review the twentieth century comprehensively. It presents not only the canonical poetry of the last hundred years but also numerous poems by women, minority, and progressive writers only rediscovered in the past two decades.</p> <p>Uniquely comprehensive, Anthology of Modern American Poetry represents Robert Frost with 23 poems, Wallace Stevens with 22, and Marianne Moore with 14, including her most ambitious long poems. William Carlos Williams is represented not only by his exquisite short lyrics, but also with an experimental combination of poetry and prose. With 29 poems, Langston Hughes is given full treatment for the first time in any comprehensive anthology. Substantial selections by contemporary poets like John Ashbery, Sylvia Plath, Frank O'Hara, Philip Levine, Lucille Clifton, Judy Grahn, Adrian Louis, Yusef Komunyakaa, Martín Espada, and Sherman Alexie are also included.</p> <p>Anthology of Modern American Poetry is the first anthology to give full treatment to American long poems and poem sequences. T.S. Eliot's The Waste Land, Gertrude Stein's ""Patriarchal Poetry,"" William Carlos Williams's The Descent of Winter, Edna St. Vincent Millay's ""Sonnets from an Ungrafted Tree,"" Muriel Rukeyser's ""The Book of the Dead,"" Melvin Tolson's Libretto for the Republic of Liberia, Theodore Roethke's ""North American Sequence,"" Gwendolyn Brooks's ""Gay Chaps at the Bar,"" Kenneth Rexroth's ""The Love Poems of Marichiko,"" both Allen Ginsberg's ""Howl"" and his ""Wichita Vortex Sutra,"" and both Adrienne Rich's ""Shooting Script"" and her ""Twenty-One Love Poems"" are all included in their entirety.</p> <p>Anthology of Modern American Poetry offers the most detailed annotations available in an anthology of this type. Many works benefit from specially commissioned research that provides students with such help as the identification of the inventive references in Melvin Tolson's poetry, translation of all foreign language passages, and illumination of obscure references. This is also the only American poetry anthology to present selected poems in the beautifully illustrated form in which they first appeared. In addition, an accompanying website featuring readings of poems and historical background is available at http://www.english.uiuc.edu/maps.</p> <p>Ideal for courses in modern American poetry, modern American literature, modern or contemporary poetry, creative writing-poetry, and American studies, Anthology of Modern American Poetry introduces students to the last 100 years of our poetic heritage in a uniquely rich and provocative format.</p>"
A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love;Caroline Kennedy;9780786869183;Hardcover;Hyperion;688;6.12 (w) x 9.25 (h) x 0.00 (d);"In the spirit of the <i>New York Times</i> bestseller <i>The Best-Loved Poems of Jacqueline Kennedy Onassis</i>, Caroline Kennedy shares an inspiring collection of patriotic poems, song lyrics, historical documents, and speeches.<br> <br> <p><i>The Best-Loved Poems of Jacqueline Kennedy Onassis</i> was a blockbuster success, remaining on the <i>New York Times</i> bestseller list for 15 weeks with more than 500,000 copies in print. Now, Caroline Kennedy shares with readers an assortment of her own favorite American writings. The works collected here — which span centuries and styles — have one thing in common: all are emblematic of our country's patriotism and pride. With texts as varied as America's cultural composition, this anthology includes material such as ""This Land Is Your Land,"" ""God Bless America,"" the Bill of Rights, the U.S. Constitution, and the Pledge of Allegiance.</p> <p>Caroline Kennedy researched all of the selections included in <i>A Patriot's Handbook</i>, wrote the introduction, and added personal commentary to each section. This elegantly packaged collection is the perfect gift for anyone in search of a reminder of what our country's spirit is made of.</p> <p>""Over the past few months we have all thought about what it means to be an American. I realized that I want my own children to know more about the ideals upon which this country was founded and the sacrifices that have been made to pass it on to us. This book is intended to help families explore the foundations of our freedom and to celebrate our heritage."" —Caroline Kennedy</p> <p><b>Caroline Kennedy</b> is the <i>New York Times</i> bestselling author of <i>The Best-Loved Poems of Jacqueline Kennedy Onassis</i> and the editor of <i>Profiles in Courage for Our Time</i>. She is also the co-author of the national bestsellers <i>The Right to Privacy</i> and <i>In Our Defense: The Bill of Rights in Action</i>. She serves as president of the John F. Kennedy Library Foundation.</p>"
Uncle Remus: His Songs and His Sayings;Joel Chandler Harris;9780877970606;Hardcover;Cherokee Publishing Company;;;
The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865);Paul Lauter;9780618532988;Paperback;Cengage Learning;1760;6.10 (w) x 9.20 (h) x 1.40 (d);<p>Unrivaled diversity and teachability have made The Heath Anthology a best-selling text since the publication of its first edition in 1989. In presenting a more inclusive canon of American literature, The Heath Anthology continues to balance the traditional, leading names in American literature with lesser-known writers and to build upon the anthology's other strengths: its apparatus and its ancillaries. Available in five volumes for greater flexibility, the Fifth Edition offers thematic clusters to stimulate classroom discussions and to show the treatment of important topics across the genres. The indispensable web site includes revised timelines, a multimedia gallery to support thematic clusters, and a searchable Instructor's Guide.</p>
Immigrant Women;Maxine Schwartz Seller;9780791419045;Paperback;State University of New York Press;;;
The American Aeneas: Classical Origins of the American Self;John C. Shields;9781572331327;Hardcover;University of Tennessee Press;480;6.38 (w) x 9.22 (h) x 1.24 (d);"<p>“John Shields's book is a provocative challenge to the venerable Adamic myth so exhaustively deployed in examinations of early American literature and in American studies. Moreover, The American Aeneas builds wonderfully on Shields's considerable work on Phillis Wheatley. “?—American Literature??</p> <p>“The American Aeneas should be of interest to classicists and American studies scholars alike.”&nbsp;?—The New England Quarterly??</p> <p>John Shields exposes a significant cultural blindness within American consciousness. Noting the biblical character Adam as an archetype who has long dominated ideas of what it means to be American, Shields argues that an equally important component of our nation’s cultural identity—a&nbsp; secular one deriving from the classical tradition—has been seriously neglected.??Shields shows how Adam and Aeneas—Vergil’s hero of the Aeneid— in crossing over to American from Europe, dynamically intermingled in the thought of the earliest American writers. Shields argues that uncovering and acknowledging the classical roots of our culture can allay the American fear of “pastlessness” that the long-standing emphasis on the Adamic myth has generated.</p> <p>John C. Shields is the editor of&nbsp;The Collected Works of Phillis Wheatley&nbsp;and the author of&nbsp;The American Aeneas: Classical Origins of the American Self, which won a Choice Outstanding Academic Book award and an honorable mention in the Harry Levin Prize competition, sponsored by the American Comparative Literature Association.&nbsp;</p>"
Love, Castro Street: Reflections of San Francisco;Katherine V. Forrest;9781555839970;Paperback;Alyson Books;288;6.00 (w) x 9.00 (h) x 0.70 (d);"<p>Recognized as perhaps the world’s most queer destination, San Francisco has a long, storied history of embracing—and influencing—gay and lesbian culture. Now, Michael Nava, Elana Dykewoman, Lucy Jane Bledsoe, Jim Tushinski, Michele Tea, K.M. Soehnlein, and many others offer up essays and stories about why they love Castro Street.</p> <p><b>Katherine V. Forrest</b> is the Lambda Award-winning author of <i>Curious Wine, Daughters of the Emerald Dusk,</i> and the Kate Delafield mystery series.</p> <p><b>Jim Van Buskirk</b>, the director of the James C. Hormel Gay &amp; Lesbian Center at the San Francisco Library, co-authored <i>Gay by the Bay.</i></p>"
The Women's Project and Productions: The Best One-Act Plays, 1975-1999;Julia Miles;9781575252711;Paperback;Smith & Kraus, Inc.;309;;"New York City's Women's Project and Productions executes a double whammy with two back to back anthologies. Women's Project &amp; Productions: 'Rowing to America' and Sixteen Other Short Plays, edited by Julia Miles (Smith &amp; Kraus, 19.95 paper), gives a head-spinning sampling of the diverse one-acts (by Liz Duffy Adams, Carmen Rivera, Sheri Wilner, and so forth) that issued from its laboratory. The indefatiguable Miles also found time prepare a greatest-hits collection, A Theatre for Women's Voices: Plays &amp; History from the Women's Project at 25."
Feeling Italian: The Art of Ethnicity in America;Thomas Ferraro;9780814727478;Paperback;New York University Press;408;0.62 (w) x 6.00 (h) x 9.00 (d);"<p><b>2006 American Book Award, presented by the Before Columbus Foundation</b></p> <p>Southern Italian emigration to the United States peaked a full century ago—;descendents are now fourth and fifth generation, dispersed from their old industrial neighborhoods, professionalized, and fully integrated into the “melting pot.” Surely the social historians are right: Italian Americans are fading into the twilight of their ethnicity. So, why is the American imagination enthralled by <i>The Sopranos</i>, and other portraits of Italian-ness?</p> <p>Italian American identity, now a mix of history and fantasy, flesh-and-bone people and all-too-familiar caricature, still has something to teach us, including why each of us, as citizens of the U.S. twentieth century and its persisting cultures, are to some extent already Italian. Contending that the media has become the primary vehicle of Italian sensibilities, Ferraro explores a series of books, movies, paintings, and records in ten dramatic vignettes. Featured cultural artifacts run the gamut, from the paintings of Joseph Stella and the music of Frank Sinatra to <i>The Godfather</i>’s enduring popularity and Madonna’s Italian background. In a prose style as vivid as his subjects, Ferraro fashions a sardonic love song to the art and iconography of Italian America.</p>"
Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860;Richard G. Newman;9780415924443;Paperback;Taylor & Francis, Inc.;320;7.00 (w) x 10.00 (h) x 0.70 (d);Between the Revolution and the Civil War, African-American writing became a prominent feature of both black protest culture and American public life. Although denied a political voice in national affairs, black authors produced a wide range of literature to project their views into the public sphere. Autobiographies and personal narratives told of slavery's horrors, newspapers railed against racism in its various forms, and poetry, novellas, reprinted sermons and speeches told tales of racial uplift and redemption.<br> <br> The editors examine the important and previously overlooked pamphleteering tradition and offer new insights into how and why the printed word became so important to black activists during this critical period. An introduction by the editors situates the pamphlets in their various social, economic and political contexts. This is the first book to capture the depth of black print culture before the Civil War by examining perhaps its most important form, the pamphlet.
A Whole Other Ball Game: Women's Literature on Women's Sport;Joli Sandoz;9780374525217;Paperback;Farrar, Straus and Giroux;288;5.50 (w) x 8.50 (h) x 0.75 (d);"<p>Since the late 1800s, women have repeatedly proven their fitness for competitive sport...simply by playing the game. Any game. Off court and on; despite all opposition. A literary first, <i>A Whole Other Ball Game</i> deals with all aspects of women's competitive sports, from the thrill of winning before hometown fans to the interpersonal dynamics on a team. This engaging collection of short stories, poems, and novel excerpts tells the exciting story of women's sports from the sportswoman's own point of view.</p> <p>Joli Sandoz has played, coached, and written about competitive athletics since her first plunge from the starting blocks in 1961. Her sporting credits include working as the first woman track coach at Harvard. She teaches American Studies at The Evergreen State College in Olympia, Washington.</p>"
A Companion to African American Literature;Gene A. Jarrett;9781405188623;Hardcover;Wiley, John & Sons, Incorporated;;;
Conversations with Mexican American Writers: Languages and Literatures in the Borderlands;Elisabeth Mermann-Jozwiak;9781604732146;Hardcover;University Press of Mississippi;;;
The Palm of My Heart: Poetry by African American Children;Davida Adedjouma;9781880000762;Hardcover;Lee & Low Books, Inc.;32;7.98 (w) x 9.86 (h) x 0.09 (d);This dazzling collection of poetry celebrates the beauty of African-American culture. Written by 20 inner-city children, these moving and powerful poems represent little-heard and often overlooked voices. Full color. <p>A collection of poems written by Afro-American children celebrating what it means to be Black. </p>
Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature, Vol. 28;Judith Ranta;9780313308604;Hardcover;Greenwood Publishing Group, Incorporated;348;6.51 (w) x 9.61 (h) x 1.16 (d);<p>This annotated bibliography of 19th-century literature by and about American textile factory workers examines 457 texts, including novels, short fiction, poetry, drama, narratives, and children's literature, and offers new insights into 19th-century working-class culture. The textile industry was the premier and largest 19th-century industry in the United States. The texts, drawn from a variety of publications, such as workers' periodicals, mainstream publishers' monographs, newspapers, magazines, story papers, dime novels, pulp publications, and Sunday-school tracts, reveal the variety and complexity of the factory literature and represent the largest body of American working-class women's literature. The literature explores a number of women's concerns, such as their roles as workers, sexual harassment, marriage, motherhood, and homosexual and heterosexual relationships, and treats the factory work experience of hundreds of thousands of 19th-century children. Annotations are divided among 14 topical chapters that highlight such key issues as women's independence, class bias, child labor, technology, and protest. Most entries include information on text availability, including microform reprints and U.S. library holdings for rare titles.</p> <p>Scholars of 19th-century women's literature and history will value the full picture of 19th-century factory women's lives that emerges through the synopses of the literature. This work includes the first literary depictions of and protest against child labor, the first anti-factory poem, and the first fictional depiction of a strike. The more than 50 annotated texts that treat child labor offer new source material for the study of child labor in 19th-century America. Appendices furnish a chronological listing of titles, a selection of nonfiction texts, and a listing of unavailable texts.</p>
Rising Voices;Arlene Hirschfelder;9780804111676;Mass Market Paperback;Random House Publishing Group;131;4.20 (w) x 6.86 (h) x 0.40 (d);<p>An astonishing collection of poems and essays written by young contemporary Native Americans. Words of protest against prejudice and oppression, poems of estrangement and pain, cries for lost worlds and lost identities — but also songs of celebration and joy for the future.</p> <p>A collection of poems and essays in which young Native Americans speak of their identity, their families and communities, rituals, and the harsh realities of their lives. </p>
Brotherman: The Odyssey of Black Men in America--an Anthology;Robert Allen;9780345383174;Paperback;Random House Publishing Group;960;5.48 (w) x 8.24 (h) x 1.56 (d);"<p>""[AN] OUTSTANDING COLLECTION...<br> The powerful opening excerpt by Frederick Douglass evokes his boyhood as a slave, and the collection closes with an eloquent discussion of the race problem today by Cornel West. A distinguished addition to black studies.""<br> —Publishers Weekly (starred review)<br> The purpose of this extraordinary anthology is made abundantly clear by the editors' stated intention: ""to create a living mosaic of essays and stories in which Black men can view themselves, and be viewed without distortion."" In this, they have succeeded brilliantly. Brotherman contains more than one hundred and fifty selections, some never before published—from slave narratives, memoirs, social histories, novels, poems, short stories, biographies, autobiographies, position papers, and essays.<br> Brotherman books us passage to the world that Black men experience as adolescents, lovers, husbands, fathers, workers, warriors, and elders. On this journey they encounter pain, confusion, anger, and love while confronting the life-threatening issues of race, sex, and politics—often as strangers in a strange land. The first collection of its kind, Brotherman gathers together a multitude of voices that add a new, unforgettable chapter to American cultural identity.</p> <p>This unique volume brings together more than 150 selections, some never before published, including slave narratives, memoirs, social histories, novels, biographies, autobiographies, position papers, and essays by an extraordinary range of African-American male voices. Editor tour. </p>"
Literary Journalism: A New Collection of the Best American Nonfiction;Mark Kramer;9780345382221;Paperback;Random House Publishing Group;480;6.00 (w) x 9.00 (h) x 0.82 (d);Some of the best and most original prose in America today is being written by literary journalists. Memoirs and personal essays, profiles, science and nature reportage, travel writing — literary journalists are working in all of these forms with artful styles and fresh approaches. In Literary Journalism, editors Norman Sims and Mark Kramer have collected the finest examples of literary journalism from both the masters of the genre who have been working for decades and the new voices freshly arrived on the national scene. <p>The fifteen essays gathered here include:<br> — John McPhee's account of the battle between army engineers and the lower Mississippi River<br> — Susan Orlean's brilliant portrait of the private, imaginative world of a ten-year-old boy<br> — Tracy Kidder's moving description of life in a nursing home<br> — Ted Conover's wild journey in an African truck convoy while investigating the spread of AIDS<br> — Richard Preston's bright piece about two shy Russian mathematicians who live in Manhattan and search for order in a random universe<br> — Joseph Mitchell's classic essay on the rivermen of Edgewater, New Jersey<br> — And nine more fascinating pieces of the nation's best new writing</p> <p>In the last decade this unique form of writing has grown exuberantly — and now, in Literary Journalism, we celebrate fifteen of our most dazzling writers as they work with great vitality and astonishing variety.</p> <p>Profiles, memoirs and personal essays, science and nature reportage, travel writing--literary journalists are working in all of these forms with artful style and fresh approaches. A worthy successor to its esteemed predecessor--a standard in many college courses--Literary Journalism collects more of the finest examples from many masters of the genre. </p>
Americans in Paris: A Literary Anthology;Adam Gopnik;9781931082563;Hardcover;Library of America;650;6.36 (w) x 9.32 (h) x 1.37 (d);"From the earliest years of the American republic, Paris has provoked an extraordinary American literary response. An almost inevitable destination for writers and thinkers, Paris has been many things to many Americans: a tradition-bound bastion of the old world of Europe; a hotbed of revolutionary ideologies in politics and art; and a space in which to cultivate an openness to life and love thought impossible at home. Including stories, letters, memoirs, and journalism, <i>Americans in Paris</i> distills three centuries of vigorous, glittering, and powerfully emotional writing about the place that Henry James called “the most brilliant city in the world.” <p>American writers came to Paris as statesmen, soldiers, students, tourists, and sometimes they stayed as expatriates. This anthology ranges from the crucial early impressions of Thomas Jefferson and Benjamin Franklin to the latter-day reflections of writers as varied as James Baldwin, Isadora Duncan, and Jack Kerouac. Along the way we encounter the energetic travelers of the nineteenth century—Emerson, Mark Twain, Henry James—and the pilgrims of the twentieth: Gertrude Stein, F. Scott Fitzgerald, E. E. Cummings, Cole Porter, Henry Miller. Come along as Thomas Paine takes a direct and dangerous part in the French Revolution; Harriet Beecher Stowe tours the Louvre; Theodore Dreiser samples the sensual enticements of Parisian night life; Edith Wharton movingly describes Paris in the early days of World War I; John Dos Passos charts the gathering political storms of the 1930s; Paul Zweig recalls the intertwined pleasures of language and sex; and A. J. Liebling savors the memory of his culinary education in delicious detail.</p> <p> <i>Americans in Paris</i> is a diverse and constantly engaging mosaic, full of revealing cultural gulfs and misunderstandings, personal and literary experimentation, and profound moments of self-discovery.</p>"
Uncle Remus: His Songs and His Sayings;Joel Chandler Harris;9780140390148;Paperback;Penguin Group (USA);224;5.15 (w) x 7.87 (h) x 0.61 (d);In 1880, Joel Chandler Harris, a moderate white Southern journalist, published a collection of black folktales, proverbs, songs, and character sketches based on stories he had heard as a child. In his introduction, Robert Hemenway discusses the book's enduring popularity, pointing out that the character of Uncle Remus, the docile and grandfatherly ex-slave storyteller, is a utopian figure-a literary creation by Harris that reassured white readers during the tense and tentative Reconstruction. By contrast, the feisty Brer Rabbit was a mainstay of black folklore long before Harris heard of his exploits. Brer Rabbit's cunning and revolutionary antics symbolically inverted the slave-master relationship and satisfied the deep human needs of a captive people. <p>Presents the legends, songs, and sayings of Uncle Remus, following the text of the first edition of Joel Chandler Harris' attempt to record traditional black stories of his time. </p>
Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery;Craft;9780820321042;Paperback;University of Georgia Press;152;5.50 (w) x 8.50 (h) x 0.35 (d);<p>In 1848 William and Ellen Craft made one of the most daring and remarkable escapes in the history of slavery in America. With fair-skinned Ellen in the guise of a white male planter and William posing as her servant, the Crafts traveled by rail and ship—in plain sight and relative luxury—from bondage in Macon, Georgia, to freedom first in Philadelphia, then Boston, and ultimately England.</p> <p>This edition of their thrilling story is newly typeset from the original 1860 text. Eleven annotated supplementary readings, drawn from a variety of contemporary sources, help to place the Crafts’ story within the complex cultural currents of transatlantic abolitionism.</p>
If I Had My Life to Live Over;Sandra Martz;9780918949257;Hardcover;Moyer Bell;205;7.22 (w) x 9.61 (h) x 0.83 (d);<p>This companion volume to the award-winning anthology, When I Am an Old Woman I Shall Wear Purple, illuminates the experiences of women, young and old, reflecting on the choices they have made. In these stories and poems we see how women's alternatives are both extended and limited by personal belief systems, ethnic and cultural identity, class and economic status, age, and gender. Whether exploring significant public events or small private choices, these word portraits resonate with authenticity and meaning.</p>
Postmodern American Poetry: A Norton Anthology;Paul Hoover;9780393310900;Paperback;Norton, W. W. & Company, Inc.;;;
Sisters of the Earth: Women's Prose and Poetry About Nature;Lorraine Anderson;9781400033218;Paperback;Knopf Doubleday Publishing Group;496;5.19 (w) x 8.00 (h) x 1.02 (d);"<p><b>Sisters of the Earth</b> is a stirring collection of women’s writing on nature: Nature as healer. Nature as delight. Nature as mother and sister. Nature as victim. Nature as companion and reminder of what is wild in us all. Here, among more than a hundred poets and prose writers, are Diane Ackerman on the opium of sunsets; Ursula K. Le Guin envisioning an alternative world in which human beings are not estranged from their planet; and Julia Butterfly Hill on weathering a fierce storm in the redwood tree where she lived for more than two years. Here, too, are poems, essays, stories, and journal entries by Emily Dickinson, Alice Walker, Terry Tempest Williams, Willa Cather, Gretel Erlich, Adrienne Rich, and others—each offering a vivid, eloquent response to the natural world.</p> <p>This second edition of <b>Sisters of the Earth</b> is fully revised and updated with a new preface and nearly fifty new pieces, including new contributions by Louise Erdrich, Pam Houston, Zora Neale Hurston, Starhawk, Joy Williams, Kathleen Norris, Rita Dove, and Barbara Kingsolver.</p> <p>Sisters of the Earth introduce the reader to female perspectives on nature that complement Thoreau's, Muir's, and Edward Abbey's. The selections span a century and encompass the voices of a variety of women, with more than 90 poems, essays, stories and journal entries included in all. </p>"
The Lincoln Anthology: Great Writers on His Life and Legacy from 1860 to Now;Harold Holzer;9781598530339;Hardcover;Library of America;800;5.20 (w) x 8.14 (h) x 1.64 (d);Abraham Lincoln has achieved an unrivaled preeminence in American history, culture, and myth. Here, for the bicentennial of his birth, Lincoln and his enduring legacy are the focus of nearly 100 major authors and important historical figures from his time to the present. Edited by celebrated Lincoln scholar Harold Holzer, this collection gathers fascinating writing from a variety of genres to illuminate the Lincoln we know and revere. It enables readers to rediscover Lincoln anew through the eyes of some of our greatest writers, including Winston Churchill, Frederick Douglass, Ralph Waldo Emerson, U. S. Grant, Nathaniel Hawthorne, Victor Hugo, Henrik Ibsen, Karl Marx, Herman Melville, Leo Tolstoy, Mark Twain, Gore Vidal, Booker T. Washington, H. G. Wells, Walt Whitman, Garry Wills, and many others. <i>The Lincoln Anthology</i> includes illustrations and a detailed chronology of Lincoln's life.
Halloween Reader: Poems, Stories, and Plays from Halloweens Past;Lesley Pratt Bannatyne;9781589801769;Paperback;Pelican Publishing Company, Incorporated;272;6.16 (w) x 8.94 (h) x 0.76 (d);"""Those who follow this book carefully are sure to win every Halloween contest they enter.""<br> --Booklist The literature of Halloween began in a time when poets, playwrights, and storytellers told tales inspired by fear of fate, the unknown, and the inexplicable--stories about dead souls and otherworldly creatures who drifted through the dark only on Halloween, when the spirit world seemed close enough to touch. This sourcebook of Halloween lore spans British, Irish, Scottish, French, Canadian, and American literature from the sixteenth to the twentieth centuries, from Robert Burns, W. B. Yeats, and James Joyce to Edgar Allan Poe, Edith Wharton, and H. P. Lovecraft. Each of the poems, stories, and plays in this anthology provides a link to Halloween celebrations of the past. Treasures abound, such as a rare Halloween mention in a colonial American play and a French journalist's retelling of a night spent amongst the bones of a Breton charnel house. The ""Hallowoddities"" section includes witch-trial testimony, journal entries, and other spooky pieces related to Halloween."
American Literature (Penguin Academics Series), Vol. 1;William E. Cain;9780321116239;Paperback;Longman;1392;5.50 (w) x 8.30 (h) x 1.50 (d);A concise but complete introduction to American Literature. Brief introductions, headnotes, and a wide range of selections provide a compact yet affordable introduction to American Literature. Those interested in American Literature.
Modernism: An Anthology;Lawrence Rainey;9780631204497;Paperback;Wiley, John & Sons, Incorporated;1216;6.80 (w) x 9.72 (h) x 1.90 (d);<p><i>Modernism: An Anthology</i> is the most comprehensive anthology of Anglo-American modernism ever to be published.<br> </p> <ul> <li>Amply represents the giants of modernism - James Joyce, Gertrude Stein, Virginia Woolf, T.S. Eliot, Ezra Pound, Wallace Stevens, Marianne Moore, Samuel Beckett.</li> <li>Includes a generous selection of Continental texts, enabling readers to trace modernism’s dialogue with the Futurists, the Dadaists, the Surrealists, and the Frankfurt School.</li> <li>Supported by helpful annotations, and an extensive bibliography.</li> <li>Allows readers to encounter anew the extraordinary revolution in language that transformed the aesthetics of the modern world .</li> </ul>
The New Anthology of American Poetry: Volume II: Modernisms: 1900-1950;Steven Gould Axelrod;9780813531649;Paperback;Rutgers University Press;856;5.90 (w) x 9.00 (h) x 1.60 (d);Bringing together fifty years of exciting modernisms, <i>The New Anthology of American Poetry, Volume 2</i> includes over 600 poems by sixty-five American poets writing in the period between 1900 and 1950. The most recognized poets of the era, such as William Carlos Williams, Ezra Pound, Wallace Stevens, T. S. Eliot, H. D., Gertrude Stein, Robert Frost, Marianne Moore, Hart Crane, and Langston Hughes are represented, along with many other Harlem Renaissance poets, women poets, immigrant and working-class poets, imagists, and objectivists. It is also the first modernist anthology to include poems and songs from popular culture.
Infinite Divisions: An Anthology of Chicana Literature;Tey Diana Rebolledo;9780816513840;Paperback;University of Arizona Press;393;6.00 (w) x 9.00 (h) x 1.10 (d);<p><b>Given the explosive creativity</b> shown by Chicana writers over the past two decades, this first major anthology devoted to their work is a major contribution to American letters. It highlights the key issues, motifs, and concerns of Mexican American women from 1848 to the present, and particularly reflects the modern Chicana's struggle for identity. Among the recurring themes in the collection is a re-visioning of foremothers such as the historical Malinche, the mythical Llorona, and pioneering women who settled the American Southwest from the sixteenth to twentieth centuries. Also included are historical documents on the lives, culture, and writings of Mexican American women in the nineteenth century, as well as oral histories recorded by the Federal Writers Project in the 1930s. Through poetry, fiction, drama, essay, and other forms, this landmark volume showcases the talents of more than fifty authors, including Gloria E. Anzaldúa, Ana Castillo, Lorna Dee Cervantes, Denise Chávez, Sandra Cisneros, Pat Mora, Cherríe Moraga, and María Helena Viramontes.</p> <p>Searching and assertive, Chicana literature embraces poetry, fiction, drama, essay, and other forms. This first major anthology devoted to the genre is organized by themes that highlight the key issues, motifs, and concerns of Mexican American women from 1848 to the present and features selections from over 60 contributors. </p>
A Hallowe'en Anthology: Literary and Historical Writings over the Centuries;Lisa Morton;9780786436842;Paperback;McFarland & Company, Incorporated Publishers;214;6.94 (w) x 9.99 (h) x 0.50 (d);"This unique anthology gathers together some of the most intriguing and useful works on the history of Halloween. Ranging from pre-Christian Celtic myths to early 20th century articles, the book's 27 entries include poems, short stories, sections from 19th and 20th century folklore books, a one-act play, Irish and Scottish folk tales, and the first book on the holiday ever published. Noted works contained in the anthology include William Wells Newell's 1904 study of the history of Jack-o'-lantern legends in ""The Ignis Fatuus"" and Alexander Montgomerie's oft-quoted 1584 poem ""Flyting Against Polwart."" Organized chronologically, most works are presented in their entirety and many include extensive annotations designed to make the original source materials more palatable for modern readers. The book also includes 34 vintage photographs and illustrations."
Sticks and Stones and Other Student Essays;Ruthe Thompson;9780312596224;Paperback;Bedford/St. Martin's;240;5.49 (w) x 8.33 (h) x 0.46 (d);<br> This unique collection of essays written by students around the country offers diverse and accessible models in the form of responses to writing assignments in the <i>Guide</i>. The chapters in <i>Sticks and Stones</i> correspond to the chapters in Part One of the <i>Guide</i>. Packaged free with the <i>Guide</i>.
Women's Worlds: The Mcgraw-Hill Anthology of Women's Writing;Robyn Warhol-Down;9780072564020;Paperback;McGraw-Hill Companies, The;2080;6.00 (w) x 9.10 (h) x 1.77 (d);<p><i>Women’s Worlds</i>, a new anthology of women’s writing, makes available a broad range of women’s voices from across time, across classes, and across the globe in a slimmer, more flexible, and more affordable format. This new anthology includes selections from the 14th through the 21st centuries, from the first text by a woman published in English (Julian of Norwich’s <i>Revelation of Divine Love)</i> to selections by contemporary writers like Barbara Kingsolver, Alison Bechdel, and Zadie Smith. The selections are drawn from Britain and North America, but also from Africa, Asia, Oceania, the Middle East, and the Caribbean—wherever English is spoken. While classics of fiction, poetry, and drama are provided, the text also includes essays, song lyrics, letters, diary entries—even excerpts from domestic handbooks and a graphic memoir—to represent the full range of women’s voices. And Cultural Coordinates essays provide insights into customs and costumes from purdah to life before the Pill. To expand the choice of novels instructors wish to assign, McGraw-Hill also offers works from Library of Women's Literature at a discount.</p>
